model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
mlp,k-means,0.7,0.683,0.683,0.7,0.061,0.077,0.077,0.061,6.087,0.131,0.771,0.741,0.801,0.792,0.861,2.2e-05,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0017778873443603516
xgb,k-center,0.575,0.571,0.571,0.575,0.061,0.058,0.058,0.061,3.741,0.105,0.657,0.673,0.775,0.79,0.76,3e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0016155242919921875
rf,k-center,0.45,0.447,0.447,0.45,0.127,0.127,0.127,0.127,18.058,0.13,0.754,0.699,0.756,0.738,0.846,4e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0016155242919921875
svc,k-center,0.525,0.496,0.496,0.525,0.094,0.088,0.088,0.094,5.141,0.004,0.594,0.447,0.455,0.448,0.28,8e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0016155242919921875
logreg,k-center,0.6,0.554,0.554,0.6,0.094,0.139,0.139,0.094,6.694,0.007,0.656,0.683,0.791,0.818,0.809,1.2e-05,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0016155242919921875
mlp,k-center,0.55,0.541,0.541,0.55,0.061,0.065,0.065,0.061,10.355,1.623,0.684,0.557,0.587,0.565,0.804,1.8e-05,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0016155242919921875
xgb,k-center,0.75,0.749,0.749,0.75,0.137,0.136,0.136,0.137,6.498,0.258,0.795,0.764,0.818,0.81,0.856,5e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0016155242919921875
rf,k-center,0.65,0.648,0.648,0.65,0.094,0.094,0.094,0.094,21.124,0.226,0.802,0.78,0.834,0.828,0.888,6e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0016155242919921875
svc,k-center,0.575,0.545,0.545,0.575,0.127,0.163,0.163,0.127,4.547,0.003,0.713,0.725,0.806,0.812,0.171,7e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0016155242919921875
logreg,k-center,0.575,0.538,0.538,0.575,0.061,0.112,0.112,0.061,4.792,0.011,0.613,0.487,0.509,0.49,0.692,8e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0016155242919921875
mlp,k-center,0.35,0.336,0.336,0.35,0.094,0.104,0.104,0.094,14.151,0.091,0.659,0.54,0.572,0.548,0.769,1.3e-05,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0016155242919921875
xgb,ag,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,8.691,2.171,0.63,0.646,0.76,0.781,0.768,4e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0013918876647949219
rf,ag,0.95,0.949,0.949,0.95,0.061,0.062,0.062,0.061,17.806,0.279,0.736,0.728,0.799,0.796,0.833,6e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0013918876647949219
svc,ag,0.75,0.744,0.744,0.75,0.137,0.139,0.139,0.137,8.445,0.004,0.781,0.715,0.766,0.749,0.136,7e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0013918876647949219
logreg,ag,0.775,0.766,0.766,0.775,0.094,0.097,0.097,0.094,6.837,0.008,0.731,0.699,0.766,0.754,0.825,9e-06,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0013918876647949219
mlp,ag,0.7,0.696,0.696,0.7,0.1,0.102,0.102,0.1,6.441,1.702,0.783,0.728,0.781,0.766,0.864,1.6e-05,original,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0013918876647949219
xgb,ag,0.925,0.925,0.925,0.925,0.1,0.1,0.1,0.1,4.245,0.058,0.768,0.77,0.833,0.833,0.862,4e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0013918876647949219
rf,ag,0.9,0.898,0.898,0.9,0.146,0.148,0.148,0.146,15.987,0.181,0.776,0.774,0.835,0.834,0.88,5e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0013918876647949219
svc,ag,0.8,0.795,0.795,0.8,0.127,0.13,0.13,0.127,6.98,0.002,0.789,0.724,0.775,0.759,0.132,7e-06,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0013918876647949219
logreg,ag,0.825,0.82,0.82,0.825,0.127,0.131,0.131,0.127,3.259,0.008,0.725,0.698,0.767,0.756,0.825,1e-05,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0013918876647949219
mlp,ag,0.7,0.688,0.688,0.7,0.127,0.137,0.137,0.127,8.547,1.371,0.769,0.729,0.787,0.775,0.852,1.3e-05,latent,20,0,2153.7017278671265,674.9472270011902,4.7624595259032e-07,0.0013918876647949219
