model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
logreg,k_center,0.525,0.521,0.521,0.525,0.085,0.086,0.086,0.085,6.862,0.006,0.552,0.285,0.283,0.285,0.651,0.0,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.0014557838439941406
mlp,k_center,0.425,0.417,0.417,0.425,0.047,0.046,0.046,0.047,6.152,0.647,0.565,0.368,0.419,0.376,0.6,5.8e-05,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.0014557838439941406
xgb,craig,0.747,0.729,0.741,0.75,0.131,0.137,0.137,0.137,4.138,0.027,0.54,0.291,0.297,0.291,0.599,5e-06,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001483917236328125
rf,craig,0.687,0.685,0.709,0.725,0.185,0.183,0.178,0.184,17.044,0.439,0.489,0.217,0.188,0.219,0.616,2.8e-05,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001483917236328125
svc,craig,0.773,0.772,0.791,0.8,0.188,0.186,0.172,0.17,6.407,0.003,0.619,0.486,0.593,0.533,0.669,5e-06,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001483917236328125
logreg,craig,0.78,0.779,0.804,0.825,0.183,0.184,0.164,0.15,7.221,0.007,0.614,0.387,0.432,0.394,0.741,1e-06,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001483917236328125
mlp,craig,0.72,0.709,0.734,0.75,0.164,0.152,0.139,0.137,6.191,0.02,0.655,0.519,0.629,0.572,0.769,4.6e-05,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001483917236328125
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.505,0.022,0.171,0.115,0.138,0.116,0.12,6e-06,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.0015420913696289062
rf,lc,0.975,0.975,0.975,0.975,0.031,0.031,0.031,0.031,15.087,0.21,0.266,0.153,0.165,0.153,0.136,1.6e-05,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.0015420913696289062
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.252,0.006,0.312,0.211,0.253,0.216,0.239,5e-06,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.0015420913696289062
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.118,0.005,0.286,0.195,0.234,0.199,0.185,1e-06,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.0015420913696289062
mlp,lc,0.962,0.962,0.962,0.962,0.031,0.031,0.031,0.031,8.12,0.111,0.296,0.208,0.255,0.214,0.204,2.5e-05,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.0015420913696289062
xgb,random,0.862,0.862,0.862,0.862,0.155,0.156,0.156,0.155,7.36,0.014,0.817,0.797,0.89,0.886,0.881,1.7e-05,40,1,,,,
rf,random,0.85,0.85,0.85,0.85,0.094,0.094,0.094,0.094,14.984,0.276,0.817,0.72,0.825,0.802,0.87,2.6e-05,40,1,,,,
svc,random,0.812,0.812,0.812,0.812,0.119,0.118,0.118,0.119,7.019,0.006,0.785,0.69,0.803,0.777,0.848,1e-05,40,1,,,,
logreg,random,0.838,0.837,0.837,0.838,0.102,0.102,0.102,0.102,6.957,0.006,0.813,0.738,0.843,0.826,0.865,0.0,40,1,,,,
mlp,random,0.762,0.76,0.76,0.762,0.108,0.107,0.107,0.108,6.771,0.127,0.771,0.674,0.791,0.762,0.841,9e-06,40,1,,,,
xgb,k-means,0.975,0.975,0.975,0.975,0.031,0.031,0.031,0.031,7.777,0.039,0.849,0.788,0.878,0.868,0.884,7e-06,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0015168190002441406
rf,k-means,0.95,0.95,0.95,0.95,0.047,0.047,0.047,0.047,16.118,0.417,0.8,0.744,0.851,0.839,0.874,2.9e-05,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0015168190002441406
svc,k-means,0.738,0.726,0.726,0.738,0.145,0.158,0.158,0.145,6.872,0.005,0.76,0.664,0.784,0.753,0.827,8e-06,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0015168190002441406
logreg,k-means,0.888,0.887,0.887,0.888,0.061,0.062,0.062,0.061,6.391,0.013,0.787,0.759,0.867,0.861,0.871,1e-06,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0015168190002441406
mlp,k-means,0.675,0.663,0.663,0.675,0.092,0.105,0.105,0.092,6.002,0.155,0.768,0.705,0.824,0.806,0.84,4.2e-05,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0015168190002441406
xgb,ag,0.962,0.962,0.962,0.962,0.05,0.051,0.051,0.05,4.935,0.025,0.812,0.8,0.893,0.891,0.866,1.8e-05,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0013480186462402344
rf,ag,0.938,0.937,0.937,0.938,0.068,0.069,0.069,0.068,15.713,0.153,0.803,0.767,0.87,0.863,0.88,1.2e-05,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0013480186462402344
svc,ag,0.75,0.742,0.742,0.75,0.068,0.075,0.075,0.068,7.061,0.004,0.707,0.535,0.631,0.577,0.817,9e-06,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0013480186462402344
logreg,ag,0.775,0.757,0.757,0.775,0.116,0.135,0.135,0.116,5.562,0.006,0.703,0.535,0.633,0.578,0.822,0.0,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0013480186462402344
mlp,ag,0.675,0.662,0.662,0.675,0.092,0.105,0.105,0.092,7.958,0.143,0.71,0.53,0.622,0.568,0.792,7e-06,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0013480186462402344
xgb,k_center,0.675,0.673,0.673,0.675,0.025,0.027,0.027,0.025,6.913,0.036,0.751,0.629,0.745,0.705,0.836,1.5e-05,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.001341104507446289
rf,k_center,0.638,0.63,0.63,0.638,0.061,0.064,0.064,0.061,16.14,0.377,0.662,0.491,0.582,0.526,0.792,2.3e-05,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.001341104507446289
svc,k_center,0.638,0.632,0.632,0.638,0.092,0.093,0.093,0.092,5.609,0.004,0.584,0.379,0.43,0.388,0.323,9e-06,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.001341104507446289
logreg,k_center,0.662,0.658,0.658,0.662,0.094,0.097,0.097,0.094,6.8,0.007,0.589,0.371,0.414,0.377,0.671,1e-06,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.001341104507446289
mlp,k_center,0.6,0.591,0.591,0.6,0.102,0.11,0.11,0.102,6.252,0.024,0.587,0.435,0.524,0.465,0.64,3.2e-05,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.001341104507446289
xgb,craig,0.587,0.571,0.567,0.575,0.11,0.13,0.136,0.127,4.159,0.027,0.534,0.51,0.693,0.654,0.555,2.4e-05,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0012671947479248047
rf,craig,0.497,0.49,0.493,0.5,0.153,0.157,0.162,0.158,16.59,0.484,0.555,0.442,0.551,0.487,0.578,3.7e-05,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0012671947479248047
svc,craig,0.647,0.626,0.629,0.65,0.182,0.214,0.216,0.184,6.885,0.007,0.525,0.479,0.64,0.583,0.54,5e-06,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0012671947479248047
logreg,craig,0.652,0.648,0.651,0.65,0.146,0.145,0.145,0.146,6.94,0.009,0.509,0.425,0.548,0.48,0.514,1e-06,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0012671947479248047
mlp,craig,0.572,0.568,0.571,0.575,0.229,0.23,0.233,0.232,7.566,0.024,0.509,0.429,0.555,0.487,0.508,6.2e-05,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0012671947479248047
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.377,0.032,0.24,0.1,0.079,0.101,0.117,1.7e-05,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0014014244079589844
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.291,0.274,0.202,0.158,0.207,0.164,0.136,2.5e-05,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0014014244079589844
svc,lc,0.988,0.987,0.987,0.988,0.025,0.025,0.025,0.025,7.024,0.004,0.291,0.275,0.393,0.315,0.207,9e-06,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0014014244079589844
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.217,0.007,0.29,0.261,0.364,0.291,0.229,1e-06,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0014014244079589844
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.884,0.129,0.321,0.289,0.401,0.326,0.281,7e-06,40,1,1126.322615146637,986.9560890197754,5.865178688738898e-07,0.0014014244079589844
xgb,random,0.862,0.86,0.86,0.862,0.047,0.048,0.048,0.047,4.509,0.041,0.806,0.716,0.824,0.802,0.877,8e-06,40,2,,,,
rf,random,0.812,0.811,0.811,0.812,0.088,0.089,0.089,0.088,16.06,0.429,0.784,0.681,0.794,0.765,0.857,3.3e-05,40,2,,,,
svc,random,0.788,0.781,0.781,0.788,0.075,0.08,0.08,0.075,7.004,0.003,0.758,0.666,0.786,0.757,0.837,7e-06,40,2,,,,
logreg,random,0.8,0.797,0.797,0.8,0.073,0.077,0.077,0.073,7.046,0.007,0.793,0.728,0.839,0.823,0.866,0.0,40,2,,,,
mlp,random,0.75,0.744,0.744,0.75,0.088,0.091,0.091,0.088,7.523,0.113,0.78,0.675,0.789,0.758,0.852,4.5e-05,40,2,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.156,0.021,0.817,0.796,0.889,0.886,0.866,1.8e-05,40,2,694.5703227519989,525.1512582302094,5.734979843163024e-07,0.0013701915740966797
rf,k-means,0.962,0.962,0.962,0.962,0.05,0.05,0.05,0.05,14.987,0.416,0.801,0.789,0.887,0.885,0.869,2.8e-05,40,2,694.5703227519989,525.1512582302094,5.734979843163024e-07,0.0013701915740966797
svc,k-means,0.788,0.78,0.78,0.788,0.135,0.139,0.139,0.135,7.304,0.006,0.72,0.602,0.722,0.678,0.797,7e-06,40,2,694.5703227519989,525.1512582302094,5.734979843163024e-07,0.0013701915740966797
logreg,k-means,0.825,0.82,0.82,0.825,0.1,0.104,0.104,0.1,6.926,0.013,0.78,0.7,0.816,0.794,0.854,0.0,40,2,694.5703227519989,525.1512582302094,5.734979843163024e-07,0.0013701915740966797
mlp,k-means,0.75,0.741,0.741,0.75,0.088,0.095,0.095,0.088,7.594,0.137,0.713,0.597,0.718,0.673,0.788,5.1e-05,40,2,694.5703227519989,525.1512582302094,5.734979843163024e-07,0.0013701915740966797
xgb,ag,0.95,0.949,0.949,0.95,0.061,0.062,0.062,0.061,4.849,0.031,0.828,0.804,0.893,0.89,0.881,2e-06,40,2,694.5703227519989,525.1512582302094,5.734979843163024e-07,0.001394033432006836
rf,ag,0.925,0.921,0.921,0.925,0.1,0.106,0.106,0.1,16.34,0.43,0.798,0.782,0.882,0.879,0.879,2.9e-05,40,2,694.5703227519989,525.1512582302094,5.734979843163024e-07,0.001394033432006836
svc,ag,0.725,0.722,0.722,0.725,0.064,0.064,0.064,0.064,6.411,0.005,0.694,0.602,0.733,0.693,0.767,8e-06,40,2,694.5703227519989,525.1512582302094,5.734979843163024e-07,0.001394033432006836
logreg,ag,0.738,0.734,0.734,0.738,0.121,0.122,0.122,0.121,6.492,0.009,0.695,0.579,0.701,0.654,0.772,1e-06,40,2,694.5703227519989,525.1512582302094,5.734979843163024e-07,0.001394033432006836
mlp,ag,0.625,0.618,0.618,0.625,0.088,0.088,0.088,0.088,6.439,0.135,0.711,0.619,0.748,0.71,0.785,8e-06,40,2,694.5703227519989,525.1512582302094,5.734979843163024e-07,0.001394033432006836
xgb,k_center,0.75,0.745,0.745,0.75,0.125,0.127,0.127,0.125,7.314,0.013,0.798,0.703,0.813,0.788,0.846,1.7e-05,40,2,694.5703227519989,525.1512582302094,5.734979843163024e-07,0.00141143798828125
rf,k_center,0.638,0.62,0.62,0.638,0.083,0.094,0.094,0.083,14.066,0.152,0.782,0.646,0.754,0.715,0.866,1.2e-05,40,2,694.5703227519989,525.1512582302094,5.734979843163024e-07,0.00141143798828125
svc,k_center,0.562,0.517,0.517,0.562,0.056,0.071,0.071,0.056,7.132,0.004,0.498,0.136,0.045,0.156,0.5,9e-06,40,2,694.5703227519989,525.1512582302094,5.734979843163024e-07,0.00141143798828125
