model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
svc,k-means,0.838,0.836,0.836,0.838,0.05,0.051,0.051,0.05,6.447,0.006,0.738,0.62,0.738,0.697,0.836,7e-06,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001399993896484375
logreg,k-means,0.862,0.86,0.86,0.862,0.061,0.062,0.062,0.061,7.021,0.014,0.738,0.611,0.726,0.683,0.835,0.0,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001399993896484375
mlp,k-means,0.638,0.627,0.627,0.638,0.073,0.076,0.076,0.073,3.549,0.022,0.665,0.59,0.73,0.691,0.769,5e-06,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001399993896484375
xgb,ag,0.938,0.936,0.936,0.938,0.068,0.071,0.071,0.068,5.531,0.048,0.826,0.801,0.891,0.887,0.871,1.6e-05,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001359701156616211
rf,ag,0.912,0.911,0.911,0.912,0.05,0.051,0.051,0.05,15.779,0.233,0.777,0.77,0.878,0.877,0.883,1.6e-05,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001359701156616211
svc,ag,0.812,0.811,0.811,0.812,0.056,0.056,0.056,0.056,6.257,0.006,0.732,0.61,0.728,0.685,0.818,6e-06,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001359701156616211
logreg,ag,0.762,0.756,0.756,0.762,0.047,0.048,0.048,0.047,7.053,0.009,0.719,0.588,0.703,0.655,0.81,1e-06,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001359701156616211
mlp,ag,0.688,0.677,0.677,0.688,0.04,0.046,0.046,0.04,8.799,0.133,0.709,0.572,0.685,0.634,0.798,3.5e-05,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.001359701156616211
xgb,k_center,0.6,0.59,0.59,0.6,0.031,0.031,0.031,0.031,7.492,0.056,0.698,0.586,0.71,0.663,0.764,1.5e-05,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.0014557838439941406
rf,k_center,0.6,0.595,0.595,0.6,0.122,0.124,0.124,0.122,17.425,0.455,0.809,0.744,0.85,0.835,0.873,3.7e-05,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.0014557838439941406
svc,k_center,0.562,0.485,0.485,0.562,0.079,0.123,0.123,0.079,6.963,0.004,0.5,0.135,0.043,0.156,0.351,1e-05,40,0,954.8321652412415,733.0763194561005,5.728749205338436e-07,0.0014557838439941406
