model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.399,0.021,0.804,0.803,0.896,0.896,0.863,1.9e-05,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0014522075653076172
rf,ag,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,14.873,0.183,0.761,0.697,0.818,0.799,0.841,1.2e-05,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0014522075653076172
svc,ag,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,6.926,0.001,0.723,0.64,0.769,0.737,0.804,2e-06,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0014522075653076172
logreg,ag,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,6.604,0.008,0.705,0.623,0.756,0.721,0.781,0.0,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0014522075653076172
mlp,ag,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,7.879,0.026,0.715,0.631,0.761,0.727,0.792,4.7e-05,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0014522075653076172
xgb,k_center,0.55,0.52,0.52,0.55,0.245,0.261,0.261,0.245,3.164,0.049,0.599,0.409,0.474,0.424,0.794,7e-06,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0016646385192871094
rf,k_center,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,13.883,0.118,0.5,0.134,0.042,0.155,0.851,6e-06,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0016646385192871094
svc,k_center,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,6.934,0.002,0.5,0.135,0.043,0.156,0.602,4e-06,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0016646385192871094
logreg,k_center,0.5,0.473,0.473,0.5,0.224,0.239,0.239,0.224,5.39,0.006,0.493,0.133,0.043,0.153,0.328,0.0,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0016646385192871094
mlp,k_center,0.4,0.347,0.347,0.4,0.122,0.134,0.134,0.122,7.022,0.017,0.496,0.214,0.181,0.217,0.389,6.3e-05,original,10,7,526.7582879066467,0,5.717147328009893e-07,0.0016646385192871094
xgb,k_means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.508,0.03,0.829,0.799,0.89,0.885,0.841,1.8e-05,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0015053749084472656
rf,k_means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,17.697,0.359,0.8,0.758,0.863,0.854,0.882,2.1e-05,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0015053749084472656
svc,k_means,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,6.963,0.002,0.76,0.703,0.825,0.808,0.164,4e-06,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0015053749084472656
logreg,k_means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.162,0.005,0.761,0.704,0.825,0.809,0.837,1e-06,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0015053749084472656
mlp,k_means,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,8.22,0.038,0.774,0.711,0.828,0.81,0.858,4.5e-05,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0015053749084472656
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.287,0.527,0.828,0.792,0.884,0.878,0.881,1.7e-05,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0014522075653076172
rf,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,17.126,0.473,0.829,0.798,0.889,0.884,0.901,2.9e-05,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0014522075653076172
svc,ag,0.6,0.493,0.493,0.6,0.122,0.196,0.196,0.122,2.686,0.001,0.547,0.549,0.806,0.856,0.5,4e-06,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0014522075653076172
logreg,ag,0.7,0.667,0.667,0.7,0.245,0.279,0.279,0.245,6.757,0.008,0.793,0.738,0.848,0.835,0.869,1e-06,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0014522075653076172
mlp,ag,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,4.993,0.032,0.765,0.664,0.781,0.75,0.831,4.9e-05,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0014522075653076172
xgb,k_center,0.65,0.627,0.627,0.65,0.2,0.213,0.213,0.2,6.803,0.018,0.589,0.4,0.464,0.414,0.754,1.5e-05,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0016646385192871094
rf,k_center,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,14.173,0.129,0.496,0.14,0.052,0.158,0.764,9e-06,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0016646385192871094
svc,k_center,0.55,0.48,0.48,0.55,0.1,0.147,0.147,0.1,6.749,0.002,0.498,0.135,0.043,0.155,0.53,3e-06,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0016646385192871094
logreg,k_center,0.5,0.487,0.487,0.5,0.158,0.169,0.169,0.158,4.333,0.007,0.494,0.136,0.048,0.156,0.461,1e-06,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0016646385192871094
mlp,k_center,0.3,0.247,0.247,0.3,0.187,0.165,0.165,0.187,7.127,0.019,0.528,0.321,0.354,0.324,0.51,4.7e-05,latent,10,7,526.7582879066467,0,5.717147328009893e-07,0.0016646385192871094
